year,category,name,gender,born,age,country
2006,economics,Edmund S. Phelps,male,1933-07-26 00:00:00,73,USA
2006,chemistry,Roger D. Kornberg,male,1947-04-24 00:00:00,59,USA
2006,physics,George F. Smoot,male,1945-02-20 00:00:00,61,USA
2006,physics,John C. Mather,male,1946-08-07 00:00:00,60,USA
2006,medicine,Craig C. Mello,male,1960-10-18 00:00:00,46,USA
2006,medicine,Andrew Z. Fire,male,1959-04-27 00:00:00,47,USA
2005,chemistry,Yves Chauvin,male,1930-10-10 00:00:00,75,Belgium
2005,economics,Thomas C. Schelling,male,1921-04-14 00:00:00,84,USA
2005,economics,Robert J. Aumann,male,1930-06-08 00:00:00,75,Germany
2005,chemistry,Richard R. Schrock,male,1945-01-04 00:00:00,60,USA
2005,chemistry,Robert H. Grubbs,male,1942-02-27 00:00:00,63,USA
2005,physics,Theodor W. Hansch,male,1941-10-30 00:00:00,64,Germany
2005,physics,John L. Hall,male,1934-08-21 00:00:00,71,USA
2005,physics,Roy J. Glauber,male,1925-09-01 00:00:00,80,USA
2005,medicine,J. Robin Warren,male,1937-06-11 00:00:00,68,Australia
2005,medicine,Barry J. Marshall,male,1951-09-30 00:00:00,54,Australia
2004,economics,Edward C. Prescott,male,1940-12-26 00:00:00,64,USA
2004,economics,Finn E. Kydland,male,1943-12-01 00:00:00,61,Norway
2004,chemistry,Irwin Rose,male,1926-07-16 00:00:00,78,USA
2004,chemistry,Avram Hershko,male,1937-12-31 00:00:00,67,Hungary
2004,chemistry,Aaron Ciechanover,male,1947-10-01 00:00:00,57,Israel
2004,physics,Frank Wilczek,male,1951-05-15 00:00:00,53,USA
2004,physics,H. David Politzer,male,1949-08-31 00:00:00,55,USA
2004,physics,David J. Gross,male,1941-02-19 00:00:00,63,USA
2004,medicine,Linda B. Buck,female,1947-01-29 00:00:00,57,USA
2004,medicine,Richard Axel,male,1946-07-02 00:00:00,58,USA
2003,economics,Clive W.J. Granger,male,1934-09-04 00:00:00,69,United Kingdom
2003,economics,Robert F. Engle III,male,1942-11-10 00:00:00,61,USA
2003,chemistry,Roderick MacKinnon,male,1956-02-19 00:00:00,47,USA
2003,chemistry,Peter Agre,male,1949-01-30 00:00:00,54,USA
2003,physics,Anthony J. Leggett,male,1938-03-26 00:00:00,65,United Kingdom
2003,physics,Vitaly L. Ginzburg,male,1916-10-04 00:00:00,87,Russia
2003,physics,Alexei Abrikosov,male,1928-06-25 00:00:00,75,Russia
2003,medicine,Sir Peter Mansfield,male,1933-10-09 00:00:00,70,United Kingdom
2003,medicine,Paul C. Lauterbur,male,1929-05-06 00:00:00,74,USA
2002,chemistry,Kurt Wuthrich,male,1938-10-04 00:00:00,64,Switzerland
2002,economics,Vernon L. Smith,male,1927-01-01 00:00:00,75,USA
2002,economics,Daniel Kahneman,male,1934-03-05 00:00:00,68,Israel
2002,chemistry,Koichi Tanaka,male,1959-08-03 00:00:00,43,Japan
2002,chemistry,John B. Fenn,male,1917-06-15 00:00:00,85,USA
2002,physics,Riccardo Giacconi,male,1931-10-06 00:00:00,71,Italy
2002,physics,Masatoshi Koshiba,male,1926-09-19 00:00:00,76,Japan
2002,physics,Raymond Davis Jr.,male,1914-10-14 00:00:00,88,USA
2002,medicine,John E. Sulston,male,1942-03-27 00:00:00,60,United Kingdom
2002,medicine,H. Robert Horvitz,male,1947-05-08 00:00:00,55,USA
2002,medicine,Sydney Brenner,male,1927-01-13 00:00:00,75,South Africa
2001,economics,Joseph E. Stiglitz,male,1943-02-09 00:00:00,58,USA
2001,economics,A. Michael Spence,male,1943,58,USA
2001,economics,George A. Akerlof,male,1940-06-17 00:00:00,61,USA
2001,chemistry,Barry Sharpless,male,1941-04-28 00:00:00,60,USA
2001,chemistry,Ryoji Noyori,male,1938-09-03 00:00:00,63,Japan
2001,chemistry,William Knowles,male,1917-06-01 00:00:00,84,USA
2001,physics,Carl Wieman,male,1951-03-26 00:00:00,50,USA
2001,physics,Wolfgang Ketterle,male,1957-10-21 00:00:00,44,Germany
2001,physics,Eric Cornell,male,1961-12-19 00:00:00,40,USA
2001,medicine,Sir Paul Nurse,male,1949-01-25 00:00:00,52,United Kingdom
2001,medicine,Tim Hunt,male,1943-02-19 00:00:00,58,United Kingdom
2001,medicine,Leland Hartwell,male,1939-10-30 00:00:00,62,USA
2000,medicine,Arvid Carlsson,male,1923-01-25 00:00:00,77,Sweden
2000,economics,Daniel L. McFadden,male,1937-07-29 00:00:00,63,USA
2000,economics,James J. Heckman,male,1944-04-19 00:00:00,56,USA
2000,chemistry,Hideki Shirakawa,male,1936-08-20 00:00:00,64,Japan
2000,chemistry,Alan MacDiarmid,male,1927-04-14 00:00:00,73,New Zealand
2000,chemistry,Alan Heeger,male,1936-01-22 00:00:00,64,USA
2000,physics,Jack Kilby,male,1923-11-08 00:00:00,77,USA
2000,physics,Herbert Kroemer,male,1928-08-25 00:00:00,72,Germany
2000,physics,Zhores Alferov,male,1930-03-15 00:00:00,70,Belarus
2000,medicine,Eric Kandel,male,1929-11-07 00:00:00,71,Austria
2000,medicine,Paul Greengard,male,1925-12-11 00:00:00,75,USA
1999,physics,Gerardus 't Hooft,male,1946-07-05 00:00:00,53,the Netherlands
1999,economics,Robert Mundell,male,1932-10-24 00:00:00,67,Canada
1999,medicine,Gnter Blobel,male,1936-05-21 00:00:00,63,Poland
