year;category;name;gender;born;age;country
1989;chemistry;Sidney Altman;male;1939;50;Canada
1989;physics;Wolfgang Paul;male;1913;76;Germany
1989;physics;Norman F. Ramsey;male;1915;74;USA
1988;chemistry;Hartmut Michel;male;1948;40;Germany
1988;chemistry;Robert Huber;male;1937;51;Germany
1988;economics;Maurice Allais;male;1911;77;France
1988;medicine;George H. Hitchings;male;1905;83;USA
1988;medicine;Gertrude B. Elion;female;1918;70;USA
1988;medicine;Sir James W. Black;male;1924;64;Scotland
1988;chemistry;Johann Deisenhofer;male;1943;45;Germany
1988;physics;Jack Steinberger;male;1921;67;Germany
1988;physics;Melvin Schwartz;male;1932;56;USA
1988;physics;Leon M. Lederman;male;1922;66;USA
1987;chemistry;Jean-Marie Lehn;male;1939;48;France
1987;economics;Robert M. Solow;male;1924;63;USA
1987;medicine;Susumu Tonegawa;male;1939;48;Japan
1987;chemistry;Charles J. Pedersen;male;1904;83;South Korea
1987;chemistry;Donald J. Cram;male;1919;68;USA
1987;physics;K. Alex Muller;male;1927;60;Switzerland
1987;physics;J. Georg Bednorz;male;1950;37;Germany
1986;chemistry;Dudley R. Herschbach;male;1932;54;USA
1986;economics;James M. Buchanan Jr.;male;1919;67;USA
1986;medicine;Rita Levi-Montalcini;female;1909;77;Italy
1986;medicine;Stanley Cohen;male;1922;64;USA
1986;chemistry;John C. Polanyi;male;1929;57;Germany
1986;chemistry;Yuan T. Lee;male;1936;50;Taiwan
1986;physics;Heinrich Rohrer;male;1933;53;Switzerland
1986;physics;Gerd Binnig;male;1947;39;Germany
1986;physics;Ernst Ruska;male;1906;80;Germany
1985;physics;Klaus von Klitzing;male;1943;42;Poland
1985;economics;Franco Modigliani;male;1918;67;Italy
1985;medicine;Joseph L. Goldstein;male;1940;45;USA
1985;medicine;Michael S. Brown;male;1941;44;USA
1985;chemistry;Jerome Karle;male;1918;67;USA
1985;chemistry;Herbert A. Hauptman;male;1917;68;USA
1984;medicine;Georges J.F. Kohler;male;1946;38;Germany
1984;economics;Richard Stone;male;1913;71;United Kingdom
1984;medicine;Cesar Milstein;male;1927;57;Argentina
1984;medicine;Niels K. Jerne;male;1911;73;United Kingdom
1984;chemistry;Bruce Merrifield;male;1921;63;USA
1984;physics;Simon van der Meer;male;1925;59;the Netherlands
1984;physics;Carlo Rubbia;male;1934;50;Italy
1983;economics;Gerard Debreu;male;1921;62;France
1983;medicine;Barbara McClintock;female;1902;81;USA
1983;chemistry;Henry Taube;male;1915;68;Canada
1983;physics;William A. Fowler;male;1911;72;USA
1983;physics;Subrahmanyan Chandrasekhar;male;1910;73;Pakistan
1982;economics;George J. Stigler;male;1911;71;USA
1982;medicine;John R. Vane;male;1927;55;United Kingdom
1982;medicine;Bengt I. Samuelsson;male;1934;48;Sweden
1982;medicine;Sune K. Bergstrom;male;1916;66;Sweden
1982;chemistry;Aaron Klug;male;1926;56;Lithuania
1982;physics;Kenneth G. Wilson;male;1936;46;USA
1981;physics;Kai M. Siegbahn;male;1918;63;Sweden
1981;economics;James Tobin;male;1918;63;USA
1981;medicine;Torsten N. Wiesel;male;1924;57;Sweden
1981;medicine;David H. Hubel;male;1926;55;Canada
1981;medicine;Roger W. Sperry;male;1913;68;USA
1981;chemistry;Roald Hoffmann;male;1937;44;Ukraine
1981;chemistry;Kenichi Fukui;male;1918;63;Japan
1981;physics;Arthur L. Schawlow;male;1921;60;USA
1981;physics;Nicolaas Bloembergen;male;1920;61;the Netherlands
1980;medicine;Jean Dausset;male;1916;64;France
1980;economics;Lawrence R. Klein;male;1920;60;USA
